Dezena,Resultado
16,"{'Concurso': 5830, 'Data': '06/01/2024', 'Dia da Semana': 'sábado'}"
97,"{'Concurso': 5829, 'Data': '03/01/2024', 'Dia da Semana': 'quarta'}"
89,"{'Concurso': 5828, 'Data': '30/12/2023', 'Dia da Semana': 'sábado'}"
28,"{'Concurso': 5827, 'Data': '23/12/2023', 'Dia da Semana': 'sábado'}"
90,"{'Concurso': 5826, 'Data': '16/12/2023', 'Dia da Semana': 'sábado'}"
50,"{'Concurso': 5825, 'Data': '13/12/2023', 'Dia da Semana': 'quarta'}"
38,"{'Concurso': 5824, 'Data': '09/12/2023', 'Dia da Semana': 'sábado'}"
24,"{'Concurso': 5823, 'Data': '06/12/2023', 'Dia da Semana': 'quarta'}"
9,"{'Concurso': 5822, 'Data': '02/12/2023', 'Dia da Semana': 'sábado'}"
65,"{'Concurso': 5821, 'Data': '29/11/2023', 'Dia da Semana': 'quarta'}"
85,"{'Concurso': 5819, 'Data': '22/11/2023', 'Dia da Semana': 'quarta'}"
21,"{'Concurso': 5818, 'Data': '18/11/2023', 'Dia da Semana': 'sábado'}"
87,"{'Concurso': 5817, 'Data': '16/11/2023', 'Dia da Semana': 'quinta'}"
88,"{'Concurso': 5816, 'Data': '11/11/2023', 'Dia da Semana': 'sábado'}"
17,"{'Concurso': 5815, 'Data': '08/11/2023', 'Dia da Semana': 'quarta'}"
39,"{'Concurso': 5814, 'Data': '04/11/2023', 'Dia da Semana': 'sábado'}"
43,"{'Concurso': 5813, 'Data': '01/11/2023', 'Dia da Semana': 'quarta'}"
66,"{'Concurso': 5812, 'Data': '28/10/2023', 'Dia da Semana': 'sábado'}"
99,"{'Concurso': 5811, 'Data': '25/10/2023', 'Dia da Semana': 'quarta'}"
94,"{'Concurso': 5810, 'Data': '21/10/2023', 'Dia da Semana': 'sábado'}"
20,"{'Concurso': 5809, 'Data': '18/10/2023', 'Dia da Semana': 'quarta'}"
54,"{'Concurso': 5806, 'Data': '07/10/2023', 'Dia da Semana': 'sábado'}"
26,"{'Concurso': 5805, 'Data': '04/10/2023', 'Dia da Semana': 'quarta'}"
42,"{'Concurso': 5804, 'Data': '30/09/2023', 'Dia da Semana': 'sábado'}"
7,"{'Concurso': 5803, 'Data': '27/09/2023', 'Dia da Semana': 'quarta'}"
6,"{'Concurso': 5802, 'Data': '23/09/2023', 'Dia da Semana': 'sábado'}"
79,"{'Concurso': 5801, 'Data': '20/09/2023', 'Dia da Semana': 'quarta'}"
23,"{'Concurso': 5800, 'Data': '16/09/2023', 'Dia da Semana': 'sábado'}"
84,"{'Concurso': 5799, 'Data': '13/09/2023', 'Dia da Semana': 'quarta'}"
5,"{'Concurso': 5798, 'Data': '06/09/2023', 'Dia da Semana': 'quarta'}"
86,"{'Concurso': 5796, 'Data': '02/09/2023', 'Dia da Semana': 'sábado'}"
67,"{'Concurso': 5795, 'Data': '30/08/2023', 'Dia da Semana': 'quarta'}"
93,"{'Concurso': 5792, 'Data': '19/08/2023', 'Dia da Semana': 'sábado'}"
76,"{'Concurso': 5791, 'Data': '16/08/2023', 'Dia da Semana': 'quarta'}"
73,"{'Concurso': 5790, 'Data': '12/08/2023', 'Dia da Semana': 'sábado'}"
61,"{'Concurso': 5788, 'Data': '05/08/2023', 'Dia da Semana': 'sábado'}"
13,"{'Concurso': 5787, 'Data': '02/08/2023', 'Dia da Semana': 'quarta'}"
71,"{'Concurso': 5786, 'Data': '29/07/2023', 'Dia da Semana': 'sábado'}"
69,"{'Concurso': 5785, 'Data': '26/07/2023', 'Dia da Semana': 'quarta'}"
44,"{'Concurso': 5784, 'Data': '22/07/2023', 'Dia da Semana': 'sábado'}"
45,"{'Concurso': 5781, 'Data': '12/07/2023', 'Dia da Semana': 'quarta'}"
14,"{'Concurso': 5780, 'Data': '08/07/2023', 'Dia da Semana': 'sábado'}"
36,"{'Concurso': 5775, 'Data': '21/06/2023', 'Dia da Semana': 'quarta'}"
4,"{'Concurso': 5773, 'Data': '14/06/2023', 'Dia da Semana': 'quarta'}"
55,"{'Concurso': 5771, 'Data': '07/06/2023', 'Dia da Semana': 'quarta'}"
41,"{'Concurso': 5770, 'Data': '03/06/2023', 'Dia da Semana': 'sábado'}"
75,"{'Concurso': 5769, 'Data': '31/05/2023', 'Dia da Semana': 'quarta'}"
48,"{'Concurso': 5768, 'Data': '27/05/2023', 'Dia da Semana': 'sábado'}"
10,"{'Concurso': 5765, 'Data': '17/05/2023', 'Dia da Semana': 'quarta'}"
58,"{'Concurso': 5763, 'Data': '10/05/2023', 'Dia da Semana': 'quarta'}"
34,"{'Concurso': 5761, 'Data': '03/05/2023', 'Dia da Semana': 'quarta'}"
32,"{'Concurso': 5759, 'Data': '26/04/2023', 'Dia da Semana': 'quarta'}"
31,"{'Concurso': 5753, 'Data': '05/04/2023', 'Dia da Semana': 'quarta'}"
8,"{'Concurso': 5751, 'Data': '29/03/2023', 'Dia da Semana': 'quarta'}"
95,"{'Concurso': 5750, 'Data': '25/03/2023', 'Dia da Semana': 'sábado'}"
19,"{'Concurso': 5748, 'Data': '18/03/2023', 'Dia da Semana': 'sábado'}"
18,"{'Concurso': 5747, 'Data': '15/03/2023', 'Dia da Semana': 'quarta'}"
15,"{'Concurso': 5745, 'Data': '08/03/2023', 'Dia da Semana': 'quarta'}"
40,"{'Concurso': 5743, 'Data': '01/03/2023', 'Dia da Semana': 'quarta'}"
63,"{'Concurso': 5737, 'Data': '04/02/2023', 'Dia da Semana': 'sábado'}"
30,"{'Concurso': 5736, 'Data': '01/02/2023', 'Dia da Semana': 'quarta'}"
96,"{'Concurso': 5735, 'Data': '28/01/2023', 'Dia da Semana': 'sábado'}"
27,"{'Concurso': 5730, 'Data': '11/01/2023', 'Dia da Semana': 'quarta'}"
25,"{'Concurso': 5727, 'Data': '31/12/2022', 'Dia da Semana': 'sábado'}"
59,"{'Concurso': 5719, 'Data': '26/11/2022', 'Dia da Semana': 'sábado'}"
53,"{'Concurso': 5714, 'Data': '09/11/2022', 'Dia da Semana': 'quarta'}"
92,"{'Concurso': 5711, 'Data': '29/10/2022', 'Dia da Semana': 'sábado'}"
81,"{'Concurso': 5706, 'Data': '13/10/2022', 'Dia da Semana': 'quinta'}"
2,"{'Concurso': 5702, 'Data': '28/09/2022', 'Dia da Semana': 'quarta'}"
74,"{'Concurso': 5699, 'Data': '17/09/2022', 'Dia da Semana': 'sábado'}"
