Concurso,Data,Prêmio1,Prêmio2,Prêmio3,Prêmio4,Prêmio5
1,15/09/1962,ímpar,par,ímpar,ímpar,par
2,22/09/1962,ímpar,par,ímpar,ímpar,ímpar
3,29/09/1962,par,par,par,ímpar,ímpar
4,03/10/1962,par,par,par,ímpar,par
5,06/10/1962,par,par,par,ímpar,par
6,10/10/1962,ímpar,ímpar,ímpar,ímpar,ímpar
7,13/10/1962,par,ímpar,par,par,ímpar
8,17/10/1962,par,par,par,ímpar,ímpar
9,20/10/1962,ímpar,ímpar,ímpar,ímpar,ímpar
10,24/10/1962,par,ímpar,ímpar,par,par
11,27/10/1962,par,par,ímpar,par,par
12,31/10/1962,ímpar,ímpar,ímpar,par,par
13,07/11/1962,ímpar,par,ímpar,par,ímpar
14,10/11/1962,par,ímpar,par,par,ímpar
15,14/11/1962,ímpar,ímpar,ímpar,ímpar,par
16,17/11/1962,ímpar,ímpar,ímpar,ímpar,ímpar
17,21/11/1962,par,ímpar,par,par,ímpar
18,24/11/1962,par,ímpar,par,ímpar,ímpar
19,28/11/1962,par,par,ímpar,par,ímpar
20,01/12/1962,par,ímpar,par,par,par
21,05/12/1962,ímpar,par,par,par,par
22,12/12/1962,par,ímpar,par,par,par
23,15/12/1962,par,par,par,par,par
24,19/12/1962,par,ímpar,ímpar,ímpar,ímpar
25,22/12/1962,ímpar,par,par,par,par
26,26/12/1962,ímpar,ímpar,par,par,ímpar
27,29/12/1962,par,ímpar,ímpar,par,ímpar
28,02/01/1963,par,ímpar,par,par,ímpar
29,05/01/1963,ímpar,par,ímpar,par,ímpar
30,09/01/1963,par,ímpar,par,par,par
31,12/01/1963,ímpar,ímpar,par,par,par
32,16/01/1963,ímpar,ímpar,ímpar,ímpar,ímpar
33,19/01/1963,par,ímpar,ímpar,ímpar,par
34,23/01/1963,par,ímpar,ímpar,par,par
35,26/01/1963,par,ímpar,ímpar,ímpar,ímpar
36,30/01/1963,ímpar,ímpar,par,par,par
37,02/02/1963,par,par,par,par,ímpar
38,06/02/1963,par,ímpar,par,par,ímpar
39,09/02/1963,ímpar,par,ímpar,ímpar,par
40,13/02/1963,par,par,ímpar,par,ímpar
41,16/02/1963,par,par,par,par,ímpar
42,20/02/1963,ímpar,par,ímpar,ímpar,par
43,23/02/1963,ímpar,par,par,ímpar,ímpar
44,02/03/1963,par,par,ímpar,ímpar,ímpar
45,06/03/1963,ímpar,par,ímpar,par,par
46,09/03/1963,par,ímpar,par,ímpar,par
47,13/03/1963,ímpar,par,par,ímpar,ímpar
48,16/03/1963,par,par,par,ímpar,ímpar
49,20/03/1963,par,ímpar,par,par,ímpar
50,23/03/1963,ímpar,par,par,par,par
51,27/03/1963,ímpar,par,ímpar,ímpar,ímpar
52,30/03/1963,ímpar,ímpar,par,par,ímpar
53,03/04/1963,par,par,par,ímpar,ímpar
54,06/04/1963,ímpar,ímpar,par,ímpar,ímpar
55,10/04/1963,par,ímpar,ímpar,ímpar,par
56,17/04/1963,par,par,par,par,par
57,20/04/1963,ímpar,par,par,ímpar,par
58,24/04/1963,par,par,ímpar,par,par
59,27/04/1963,ímpar,par,par,par,ímpar
60,04/05/1963,ímpar,par,par,par,par
61,08/05/1963,par,par,ímpar,par,ímpar
62,11/05/1963,par,ímpar,ímpar,ímpar,par
63,15/05/1963,par,ímpar,ímpar,par,par
64,18/05/1963,par,ímpar,par,ímpar,ímpar
65,22/05/1963,ímpar,ímpar,ímpar,ímpar,ímpar
66,25/05/1963,par,par,par,ímpar,ímpar
67,29/05/1963,par,ímpar,par,par,par
68,01/06/1963,ímpar,ímpar,ímpar,ímpar,par
69,05/06/1963,ímpar,ímpar,ímpar,ímpar,ímpar
70,08/06/1963,par,ímpar,par,ímpar,ímpar
71,12/06/1963,ímpar,par,ímpar,ímpar,par
72,15/06/1963,ímpar,ímpar,par,par,par
73,19/06/1963,par,ímpar,ímpar,ímpar,par
74,22/06/1963,par,ímpar,par,par,par
75,26/06/1963,par,ímpar,ímpar,ímpar,par
76,29/06/1963,ímpar,ímpar,ímpar,ímpar,par
77,03/07/1963,par,par,par,par,ímpar
78,06/07/1963,par,par,par,par,ímpar
79,10/07/1963,ímpar,ímpar,par,ímpar,ímpar
80,13/07/1963,ímpar,ímpar,par,par,ímpar
81,17/07/1963,ímpar,par,par,ímpar,ímpar
82,20/07/1963,ímpar,par,ímpar,par,par
83,24/07/1963,ímpar,par,ímpar,par,par
84,27/07/1963,ímpar,par,ímpar,ímpar,ímpar
85,31/07/1963,ímpar,par,par,par,ímpar
86,03/08/1963,ímpar,par,par,par,ímpar
87,07/08/1963,ímpar,ímpar,par,ímpar,ímpar
88,10/08/1963,par,par,par,par,ímpar
89,14/08/1963,par,ímpar,par,par,ímpar
90,17/08/1963,ímpar,par,ímpar,par,ímpar
91,21/08/1963,ímpar,ímpar,ímpar,par,par
92,24/08/1963,ímpar,par,ímpar,ímpar,par
93,28/08/1963,ímpar,par,par,ímpar,ímpar
94,31/08/1963,par,ímpar,par,ímpar,par
95,04/09/1963,par,ímpar,par,ímpar,par
