Concurso,Data,Prêmio1,Prêmio2,Prêmio3,Prêmio4,Prêmio5
1,15/09/1962,13,08,23,13,04
2,22/09/1962,09,04,17,17,13
3,29/09/1962,24,10,02,21,03
4,03/10/1962,24,14,16,13,18
5,06/10/1962,18,20,16,15,12
6,10/10/1962,09,17,23,15,01
7,13/10/1962,04,15,18,08,03
8,17/10/1962,24,08,08,09,11
9,20/10/1962,07,21,15,23,19
10,24/10/1962,10,01,13,18,04
11,27/10/1962,16,18,03,06,10
12,31/10/1962,15,25,11,20,16
13,07/11/1962,19,08,19,06,11
14,10/11/1962,08,21,04,02,01
15,14/11/1962,03,11,11,03,02
16,17/11/1962,09,13,09,19,19
17,21/11/1962,04,19,14,16,03
18,24/11/1962,04,23,10,23,01
19,28/11/1962,02,24,23,20,17
20,01/12/1962,04,17,16,10,06
21,05/12/1962,15,24,10,14,10
22,12/12/1962,10,21,22,24,04
23,15/12/1962,06,18,12,18,06
24,19/12/1962,18,09,01,23,19
25,22/12/1962,15,20,24,24,10
26,26/12/1962,17,17,18,22,17
27,29/12/1962,24,07,13,10,11
28,02/01/1963,16,19,20,12,25
29,05/01/1963,21,16,17,24,11
30,09/01/1963,24,03,10,10,04
31,12/01/1963,01,07,10,12,06
32,16/01/1963,23,09,23,03,25
33,19/01/1963,24,05,01,03,04
34,23/01/1963,04,21,01,16,04
35,26/01/1963,12,05,11,05,07
36,30/01/1963,05,19,10,10,12
37,02/02/1963,20,08,10,24,21
38,06/02/1963,10,25,08,10,17
39,09/02/1963,23,16,11,11,08
40,13/02/1963,22,18,17,04,09
41,16/02/1963,20,12,10,18,01
42,20/02/1963,01,08,01,23,24
43,23/02/1963,11,22,20,13,09
44,02/03/1963,02,08,13,19,23
45,06/03/1963,15,22,09,06,16
46,09/03/1963,16,15,06,07,24
47,13/03/1963,13,18,24,07,25
48,16/03/1963,04,06,14,25,21
49,20/03/1963,24,11,06,12,07
50,23/03/1963,11,08,24,10,16
51,27/03/1963,01,20,07,13,21
52,30/03/1963,15,05,06,22,25
53,03/04/1963,04,08,02,19,13
54,06/04/1963,09,07,12,23,23
55,10/04/1963,18,01,09,09,22
56,17/04/1963,18,10,08,22,02
57,20/04/1963,07,24,04,03,14
58,24/04/1963,22,12,15,12,14
59,27/04/1963,05,12,06,02,07
60,04/05/1963,13,20,08,04,22
61,08/05/1963,06,20,01,22,07
62,11/05/1963,02,07,01,25,08
63,15/05/1963,24,23,17,14,20
64,18/05/1963,02,23,16,01,07
65,22/05/1963,05,07,13,03,09
66,25/05/1963,10,04,04,01,05
67,29/05/1963,18,03,12,02,08
68,01/06/1963,03,11,11,09,20
69,05/06/1963,15,09,19,19,23
70,08/06/1963,20,11,18,11,17
71,12/06/1963,05,24,11,17,22
72,15/06/1963,25,01,10,14,08
73,19/06/1963,06,17,21,01,06
74,22/06/1963,16,11,20,08,16
75,26/06/1963,14,19,23,21,12
76,29/06/1963,11,19,25,23,06
77,03/07/1963,02,24,08,16,15
78,06/07/1963,12,18,22,04,11
79,10/07/1963,19,21,22,01,19
80,13/07/1963,21,01,04,06,03
81,17/07/1963,17,18,24,03,15
82,20/07/1963,09,20,17,06,22
83,24/07/1963,07,14,03,22,20
84,27/07/1963,19,16,23,15,13
85,31/07/1963,23,20,18,06,11
86,03/08/1963,21,02,16,16,05
87,07/08/1963,11,03,16,09,21
88,10/08/1963,16,22,24,02,11
89,14/08/1963,04,19,14,12,21
90,17/08/1963,19,02,13,18,23
91,21/08/1963,03,05,21,06,08
92,24/08/1963,01,04,23,25,04
93,28/08/1963,19,04,06,15,15
94,31/08/1963,24,15,10,17,14
95,04/09/1963,06,17,10,21,20
96,11/09/1963,06,22,07,17,23
97,14/09/1963,11,17,21,20,15
98,18/09/1963,12,19,21,06,21
99,21/09/1963,24,11,14,07,24
100,25/09/1963,16,05,18,17,13
101,28/09/1963,01,05,24,01,01
102,02/10/1963,12,19,19,06,05
103,05/10/1963,06,23,08,12,07
104,09/10/1963,24,05,19,04,23
105,12/10/1963,18,16,04,01,09
106,16/10/1963,22,25,18,04,06
107,19/10/1963,22,01,02,24,21
108,23/10/1963,19,01,11,02,06
109,26/10/1963,07,03,03,08,08
110,30/10/1963,14,13,17,02,10
111,06/11/1963,18,03,12,11,15
112,09/11/1963,02,22,14,18,21
113,13/11/1963,03,18,06,13,05
114,16/11/1963,09,03,13,16,12
115,20/11/1963,20,02,08,20,19
116,23/11/1963,04,09,22,12,01
117,27/11/1963,04,24,08,14,19
118,30/11/1963,15,15,17,11,08
119,04/12/1963,05,08,24,16,17
120,07/12/1963,25,25,21,17,08
121,11/12/1963,08,23,01,06,03
122,14/12/1963,23,20,18,25,24
123,18/12/1963,04,07,14,11,16
124,21/12/1963,05,09,15,04,08
125,28/12/1963,04,02,06,12,24
126,04/01/1964,15,03,15,23,14
127,08/01/1964,06,19,08,11,06
128,11/01/1964,15,02,12,11,22
129,15/01/1964,17,03,21,11,06
130,18/01/1964,13,19,04,24,10
131,22/01/1964,02,24,05,18,05
132,25/01/1964,16,24,16,04,23
133,29/01/1964,03,25,15,25,20
134,01/02/1964,09,10,13,20,18
135,05/02/1964,04,06,10,25,21
136,08/02/1964,12,10,20,23,22
137,15/02/1964,12,22,06,05,17
138,19/02/1964,22,09,08,18,16
139,22/02/1964,11,01,24,09,20
140,26/02/1964,14,09,09,04,23
141,29/02/1964,24,22,04,16,07
142,04/03/1964,19,10,08,12,18
143,07/03/1964,22,02,19,03,05
144,11/03/1964,02,14,13,24,06
145,14/03/1964,05,17,03,18,03
146,18/03/1964,21,20,19,25,21
147,21/03/1964,18,19,03,22,05
148,25/03/1964,14,23,25,05,22
150,04/04/1964,23,02,07,05,16
149,06/04/1964,05,25,04,02,10
151,08/04/1964,01,20,24,06,02
152,11/04/1964,18,01,17,11,16
153,15/04/1964,14,04,06,04,12
154,18/04/1964,12,21,12,24,05
155,22/04/1964,19,11,24,22,04
156,25/04/1964,11,03,05,24,21
157,29/04/1964,13,04,07,16,10
158,02/05/1964,20,11,11,04,04
159,06/05/1964,11,17,23,13,19
160,09/05/1964,08,04,05,18,01
161,13/05/1964,14,01,20,04,22
162,16/05/1964,25,09,08,08,19
163,20/05/1964,10,21,07,07,02
164,23/05/1964,17,18,20,05,21
165,27/05/1964,05,10,07,11,23
166,30/05/1964,25,15,07,20,15
167,03/06/1964,05,17,24,15,23
168,06/06/1964,23,16,08,18,20
169,10/06/1964,07,24,04,05,17
170,13/06/1964,22,06,18,03,21
171,17/06/1964,16,16,25,23,08
172,20/06/1964,24,09,16,10,09
173,24/06/1964,24,19,05,15,23
174,27/06/1964,01,02,03,03,22
175,01/07/1964,18,02,16,21,03
176,04/07/1964,03,11,03,18,03
177,08/07/1964,21,25,12,21,15
178,11/07/1964,16,09,04,05,12
179,15/07/1964,23,24,01,14,21
180,18/07/1964,06,15,12,01,21
181,22/07/1964,04,15,24,17,07
182,25/07/1964,03,21,11,25,25
183,29/07/1964,25,01,02,11,09
184,01/08/1964,02,16,03,15,02
185,05/08/1964,01,12,19,06,25
186,08/08/1964,10,17,25,19,08
187,12/08/1964,19,06,20,18,07
188,19/08/1964,19,01,22,07,20
189,22/08/1964,02,22,19,21,16
190,26/08/1964,08,23,13,16,07
191,29/08/1964,25,15,04,06,21
192,02/09/1964,19,01,17,12,20
193,05/09/1964,10,12,21,09,20
194,09/09/1964,02,25,21,24,15
195,12/09/1964,11,14,09,21,12
196,16/09/1964,01,18,22,17,06
197,19/09/1964,14,13,02,19,15
198,23/09/1964,05,08,11,21,14
199,26/09/1964,24,15,08,12,06
200,30/09/1964,17,03,01,24,09
201,03/10/1964,23,21,02,16,08
202,07/10/1964,11,14,01,20,01
203,10/10/1964,21,14,04,22,16
204,14/10/1964,03,11,01,15,22
205,17/10/1964,04,07,09,11,22
206,21/10/1964,04,10,17,01,13
207,24/10/1964,14,22,16,18,23
208,28/10/1964,12,19,18,25,10
209,31/10/1964,12,10,07,07,04
