Concurso,Data,Prêmio1,Prêmio2,Prêmio3,Prêmio4,Prêmio5
1,15/09/1962,IIPI,PPII,PPIP,IIII,IPIP
2,22/09/1962,IIIP,PIIP,PIPI,PPPP,PPIP
3,29/09/1962,IIII,IPII,IIPI,PIPP,IIII
4,03/10/1962,PPIP,IIIP,PPPI,IIII,IIPI
5,06/10/1962,IIIP,IPPP,IPPP,PPIP,IIPP
6,10/10/1962,PIIP,IPPI,IPIP,PPII,PIPP
7,13/10/1962,IIIP,PPPP,IPIP,IIIP,PPIP
8,17/10/1962,IPIP,IIPI,IIII,PPII,IIPI
9,20/10/1962,IIPP,PIPP,PPPP,PPII,IPIP
10,24/10/1962,PIIP,IIPI,PIPI,IIIP,IIII
11,27/10/1962,IPPP,PPIP,PPII,IPPI,PPII
12,31/10/1962,IPIP,PPII,PPPP,PPIP,PIPP
13,07/11/1962,IPII,IIPI,IIIP,IIPI,IPPP
14,10/11/1962,IIIP,IPPP,PIII,IPPP,PPPI
15,14/11/1962,PPPI,IPPI,IIPP,IIIP,IPPI
16,17/11/1962,PIIP,IIIP,PPII,IIII,IIII
17,21/11/1962,IIII,PIII,IPIP,IIPI,IPIP
18,24/11/1962,IIIP,IPII,PIII,IIIP,IIPI
19,28/11/1962,PPPI,IIIP,IIPI,PPII,IIPI
20,01/12/1962,PPII,PPPI,PIPI,IIII,PIPP
21,05/12/1962,IPII,IIIP,IPIP,PPIP,IPIP
22,12/12/1962,PPII,PPPP,IIPI,PPIP,PPII
23,15/12/1962,PIPP,IIPI,IIPP,IIIP,IPPP
24,19/12/1962,IPII,IIIP,IPPP,PIIP,PIII
25,22/12/1962,IPII,PPII,PIIP,IPIP,IIIP
26,26/12/1962,IPPI,IPPI,IIIP,IIPI,PPPI
27,29/12/1962,PIII,IPPP,IPPI,IPII,IIPP
28,02/01/1963,IPPI,IPII,IPII,PIPI,PIII
29,05/01/1963,PIPP,PPPP,IIPP,PPIP,IPPI
30,09/01/1963,IIII,IIIP,IPII,PIPP,IPII
31,12/01/1963,PPPI,IPPI,IIII,PIPI,IIPP
32,16/01/1963,PPPI,IIII,PPII,IPII,PPIP
33,19/01/1963,PIII,PPPP,PIPP,IPIP,IIII
34,23/01/1963,PIIP,PIPP,PPPI,PIPP,PIIP
35,26/01/1963,IPPP,IPII,PIPP,IPII,PIPP
36,30/01/1963,PPPP,PIIP,PIII,IPIP,PPPP
37,02/02/1963,PIIP,PIIP,PIIP,PIIP,PPPI
38,06/02/1963,PPIP,PIII,IIII,IIIP,IPPI
39,09/02/1963,PPII,IIPI,IPPI,PIPI,PPIP
40,13/02/1963,PPPI,IPPI,IPPP,IIIP,IIII
41,16/02/1963,IIII,PPPI,PIII,IIPI,PIPP
42,20/02/1963,PPPI,PPIP,IIPI,PIIP,PIII
43,23/02/1963,PIPI,PIPI,PIII,PPII,IIII
44,02/03/1963,PIPP,PPIP,IIIP,IPIP,PIII
45,06/03/1963,PPII,IIPP,PIIP,IIPP,IPPP
46,09/03/1963,PIPI,IIII,PIPP,IPPP,PIIP
47,13/03/1963,IPIP,PIIP,IIII,PIPI,PPII
48,16/03/1963,PIII,IPPI,PPIP,IIIP,IPPP
49,20/03/1963,IPIP,IPPP,PPPP,IIPI,PPPI
50,23/03/1963,PIPI,PPIP,PIII,IIPP,IPPI
51,27/03/1963,IPPP,PPII,IIPI,PPIP,IIPP
52,30/03/1963,PPPP,PIII,PIPI,IPPP,PPII
53,03/04/1963,PPII,IPIP,IIPP,PPII,PIIP
54,06/04/1963,IPIP,IIPI,PIPP,IIIP,IPPI
55,10/04/1963,IPII,IIPI,PIII,PIII,IIPP
56,17/04/1963,PPIP,PIPP,IIIP,PIPP,IIPI
57,20/04/1963,PPPP,PPII,IIIP,PPII,PIIP
58,24/04/1963,PPPI,IPPP,PIPP,PIPP,PPIP
59,27/04/1963,IIII,PPPI,PIPP,PPPP,PIPI
60,04/05/1963,PPIP,PPII,IPII,IPIP,PPPP
61,08/05/1963,IIPP,IPIP,IIPI,PIPP,IIPP
62,11/05/1963,IIPI,IPPI,PIPP,IPII,PIIP
63,15/05/1963,IPII,PPIP,PPPI,IIII,PPIP
64,18/05/1963,IPPI,PPIP,IPPI,PPPP,PIPI
65,22/05/1963,IPIP,IPPI,IIII,IIIP,PIII
66,25/05/1963,IPII,IPII,IPIP,PPPP,IPPP
67,29/05/1963,PPPI,IIIP,IIPP,IIPP,PPPI
68,01/06/1963,PIII,PIPP,PIPP,PIII,PPII
69,05/06/1963,PPII,PIIP,IIIP,PPIP,IPPI
70,08/06/1963,IPIP,PIPP,PPPI,IPPI,IIPP
71,12/06/1963,IPII,IIIP,PIPI,IIPP,PIPI
72,15/06/1963,PPPP,IPPI,IPIP,PPII,IPIP
73,19/06/1963,IPPI,PPPP,IPPI,PPPP,IPPP
74,22/06/1963,PPPI,PPPI,IPPP,PIII,IPPP
75,26/06/1963,IPII,PPII,IPIP,PIPI,PIPP
76,29/06/1963,IIPP,IIIP,IPIP,IPIP,PIPP
77,03/07/1963,IPPI,PPIP,PPIP,IIPI,PPII
78,06/07/1963,PPPP,IPII,IIPP,IIIP,PPPP
79,10/07/1963,PPIP,IPPI,IPPP,PPPI,PIII
80,13/07/1963,IPPP,IPPP,PPIP,PIPI,IIIP
81,17/07/1963,PPPI,IPPI,IPII,PPIP,PIIP
82,20/07/1963,IIIP,IIII,IIPI,IPPI,PPPP
83,24/07/1963,IIPI,PPIP,PIIP,PIPP,PIII
84,27/07/1963,IPII,IIPP,PIPI,PPIP,PPIP
85,31/07/1963,PIIP,PIII,PIII,IPPI,PIPP
86,03/08/1963,PIPI,IIPI,PIPI,PIPP,IPII
87,07/08/1963,IIPP,IPPI,PIPI,PPII,PPPI
88,10/08/1963,IPPI,IIPP,IPII,IIPP,IPPI
89,14/08/1963,PIII,PIIP,IIII,IIPI,IIPI
90,17/08/1963,IPII,IPPP,PIII,PIII,IIII
91,21/08/1963,PIPI,PIPP,PPPI,PPPP,IPPI
92,24/08/1963,PIPP,IIII,IIIP,PIPP,PPIP
93,28/08/1963,IIII,IIIP,PIPI,IPIP,IIII
94,31/08/1963,IPII,IIIP,PIII,IPPI,IPIP
95,04/09/1963,IPPI,PIPP,PIII,PPPP,IPII
96,11/09/1963,PIPI,PIPI,IPPI,IPPI,IIIP
97,14/09/1963,PIPI,IPPP,IIPP,IPIP,PIIP
98,18/09/1963,IPPI,IIII,IPPI,PPPI,PPPP
99,21/09/1963,IPIP,IPPP,IPIP,PPPP,PIIP
100,25/09/1963,PIPI,PPPP,IPII,IPPI,IIIP
101,28/09/1963,IIPP,IPIP,PPIP,IPPP,IIPI
102,02/10/1963,PPPP,PIII,IPII,PPPI,IPII
103,05/10/1963,PIPI,IIPI,IIII,PIPP,PIPP
104,09/10/1963,IIIP,IPIP,IIII,IPII,PIPI
105,12/10/1963,IPII,PPPP,IIIP,IPPP,IIIP
106,16/10/1963,PIPI,PIIP,IPIP,PIII,PIPI
107,19/10/1963,IIPP,PIPP,IIPI,PIII,PIPP
108,23/10/1963,PIII,IPPP,PPPP,PIPI,PPPI
109,26/10/1963,IPPP,PIIP,PIIP,PPII,IPII
110,30/10/1963,PPII,PIIP,PPPP,IPPP,PPII
111,06/11/1963,PPII,PIPI,IPPI,IPPI,IPII
112,09/11/1963,PIPP,PPPI,PIIP,IIPI,PIPP
113,13/11/1963,PIIP,IPII,IIPI,PIII,PPIP
114,16/11/1963,PPII,IIII,IIPI,PPPI,IIPP
115,20/11/1963,PIII,IIPI,PIIP,IIII,PIII
116,23/11/1963,PIII,PIII,IIPI,PIPP,PIPI
117,27/11/1963,IIII,IPIP,IPPI,PIII,IIII
118,30/11/1963,PIII,PPIP,IPPP,IIPI,IPPI
119,04/12/1963,IIPP,IPII,IIII,IPPP,PIPI
120,07/12/1963,IPII,IPPP,PIPI,PPPI,PPII
121,11/12/1963,IPPI,IIIP,PIPI,PPPI,PIIP
122,14/12/1963,IPPI,IPIP,PIIP,PIPP,IIIP
123,18/12/1963,IIIP,PIPP,PPIP,PPPP,IPPI
124,21/12/1963,PIIP,PPIP,IIPP,IIIP,IIII
125,28/12/1963,IIII,IIPP,IIPI,IIPP,PPIP
126,04/01/1964,PIII,IIII,PIII,IIIP,PIIP
127,08/01/1964,PPPI,IIII,IPII,IIPP,IIPP
128,11/01/1964,PPII,PIPP,IPPP,PIPI,PPPI
129,15/01/1964,PIPP,PIIP,PPPI,IIPP,IIPP
130,18/01/1964,PPIP,IIIP,PPII,IIIP,PPPP
131,22/01/1964,IIPP,IPII,PIII,IPIP,IPPP
132,25/01/1964,IPPP,IPIP,PIPI,IPIP,PIIP
133,29/01/1964,PPIP,PPII,IPII,IIII,PIIP
134,01/02/1964,IPII,PPIP,PPIP,PIII,IPPI
135,05/02/1964,IPII,IPPP,PIPP,IIPP,IIPP
136,08/02/1964,IPPI,IPII,IPII,IPIP,PPPP
137,15/02/1964,PPPP,PIPI,PIPI,PPIP,PIPP
138,19/02/1964,PIPP,IIIP,IPIP,PPIP,PIPP
139,22/02/1964,IIPP,PPPI,PPII,PIII,PPIP
140,26/02/1964,IPII,IPIP,PPIP,PPIP,IPPI
141,29/02/1964,PPII,IIPI,IPIP,PPPI,IIPP
142,04/03/1964,IPIP,PIII,IPII,PPPI,PIII
143,07/03/1964,PIPI,IPPI,PIIP,IPIP,PPIP
144,11/03/1964,PPPI,PPII,PPIP,IIIP,PPPP
145,14/03/1964,IPIP,IPPI,PIPI,PPIP,PPII
146,18/03/1964,PIPI,PPIP,IPIP,PPII,IIPI
147,21/03/1964,IPII,PIIP,IIIP,IIPP,PIPP
148,25/03/1964,IIIP,PIIP,IIIP,IIII,PPPI
150,04/04/1964,IPIP,PPPP,PPPP,PIIP,PPPI
149,06/04/1964,PPIP,IPIP,PPIP,IPPP,PPIP
151,08/04/1964,PIPI,PPPP,IPII,IIPP,IIPP
152,11/04/1964,PPIP,PIPP,IIPI,PIPI,PPPP
153,15/04/1964,IPII,PIIP,IIPP,IPIP,PIPP
154,18/04/1964,PPPP,PPPP,IIPI,IPIP,IIII
155,22/04/1964,PIIP,PPPI,IPII,PIPI,IPII
156,25/04/1964,IIPP,PIIP,IIII,PPIP,PPPP
157,29/04/1964,PIIP,PPIP,IPPP,IPPP,IIIP
158,02/05/1964,IIIP,PIPI,IIPI,PIIP,IPIP
159,06/05/1964,PIPP,PIPP,PPII,IIII,PPII
160,09/05/1964,IIIP,PIII,PPIP,PPIP,PPPP
161,13/05/1964,IPII,IIPP,IIIP,PIIP,IIPP
162,16/05/1964,PPPP,IIIP,PPPI,PPIP,IPII
163,20/05/1964,IIPP,IIPI,IPPP,PPPP,IIPP
164,23/05/1964,IIPP,IIIP,PIII,IPII,PIPI
165,27/05/1964,IIII,PIIP,IPPI,PIPP,PIIP
166,30/05/1964,IPIP,PIII,PIPP,PIIP,PPII
167,03/06/1964,PIII,PIPP,PPIP,IIIP,IPPI
168,06/06/1964,PPII,IPPI,PPIP,IIII,PPIP
169,10/06/1964,PPPP,PIIP,IIII,PIII,PIPP
170,13/06/1964,IIPI,PPPP,IIPI,PPIP,PPPI
171,17/06/1964,IIPP,PIPI,PPPP,PIIP,PIPI
172,20/06/1964,PPII,PIII,PPPI,IIII,PIIP
173,24/06/1964,PPII,PIII,PIIP,PPII,PPIP
174,27/06/1964,PPPI,IPPI,PPPI,PIPI,IPPI
175,01/07/1964,PIII,PIPP,IIPI,PPPI,PIIP
176,04/07/1964,IPII,PIPP,IIIP,IIPI,PIPI
177,08/07/1964,PPPI,IPIP,IPPP,IIPI,IPII
178,11/07/1964,PIPP,PIIP,PIIP,PPII,IIPI
179,15/07/1964,IPIP,IPIP,IIPI,IIIP,PIPI
180,18/07/1964,IPPI,PPIP,IIPP,PIPI,IPPI
181,22/07/1964,PPII,PIIP,PIII,PIPI,IPPP
182,25/07/1964,IIIP,PIPI,PPPP,PIII,PIIP
183,29/07/1964,IPIP,IIPI,PPPP,PPPP,PPIP
184,01/08/1964,IPPP,IIPP,PPIP,IPII,IPPP
185,05/08/1964,IPPP,IIPI,PPIP,IPPI,PPPP
186,08/08/1964,IIIP,PPPI,IIII,IIII,PPIP
187,12/08/1964,PPIP,PIPI,IIIP,PIPI,IPPP
188,19/08/1964,PIIP,PPPI,PPPI,IPPI,PPPP
189,22/08/1964,IPPP,IPPI,IIIP,PIPP,PIPP
190,26/08/1964,IIIP,PIII,IPII,IIPP,PIPI
191,29/08/1964,PIII,PIII,PIII,IPPI,IPPP
192,02/09/1964,PPII,IPPP,PPPI,PPPI,PPIP
193,05/09/1964,PIIP,PPPI,PPPI,PIII,PIII
194,09/09/1964,PIPP,IPII,PIPP,IIII,PIII
195,12/09/1964,IIPI,IIIP,PIII,PIPP,IPPP
196,16/09/1964,IIPI,IPII,IPPI,IPPI,IIPP
197,19/09/1964,PIII,PPIP,PPPP,PPIP,IPPP
198,23/09/1964,IPII,IPPI,PIPP,PPPI,PIII
199,26/09/1964,IIII,IIII,PIPI,IPPP,IIPI
200,30/09/1964,PPPI,IPII,IPPI,IIIP,IIII
201,03/10/1964,IPII,IPPP,IIPP,PIPP,PPII
202,07/10/1964,IIPI,IPIP,PIPP,PIIP,PPPI
203,10/10/1964,IPPP,PPII,IPIP,PPPP,PPPP
204,14/10/1964,PIPI,IPPI,PIPP,IIII,IIPP
205,17/10/1964,IIIP,IIPI,PPIP,IPPP,PPPP
206,21/10/1964,PPII,IIPP,IIPI,PPPP,IIII
207,24/10/1964,PPIP,PIPP,IPPP,IPIP,IPIP
208,28/10/1964,PIPI,IPIP,PPII,PIIP,IIII
209,31/10/1964,IPPP,IPIP,PPPI,IIPP,PIII
210,04/11/1964,PIII,IPPI,IIPI,IIPI,IPPI
211,07/11/1964,PIPP,IIPP,PIIP,IIPI,IIPP
212,11/11/1964,PPII,PIPP,IIPI,IPPI,PPII
213,14/11/1964,IPPP,IPIP,PPPP,IPII,IPII
214,18/11/1964,PIPI,IPII,PPIP,PPII,IPPI
215,21/11/1964,IIPP,PPPP,IIIP,IIII,PPPI
216,25/11/1964,IIPI,IPPP,IIIP,IIPP,PPPP
217,28/11/1964,IIPI,IIII,PPII,IIII,PPIP
