5793,23/08/2023,"['8', '7', '7', '5']","['7', '4', '5', '4']","['9', '8', '7', '3']","['9', '3', '1', '4']","['2', '0', '9', '3']"
5792,19/08/2023,"['2', '5', '9', '3']","['1', '5', '7', '9']","['8', '8', '9', '3']","['7', '6', '8', '2']","['4', '3', '8', '3']"
5791,16/08/2023,"['7', '4', '1', '3']","['3', '8', '5', '2']","['7', '6', '7', '6']","['1', '6', '8', '6']","['8', '8', '9', '7']"
5790,12/08/2023,"['3', '4', '4', '3']","['4', '2', '5', '1']","['8', '9', '7', '3']","['0', '9', '3', '8']","['2', '5', '7', '5']"
5789,09/08/2023,"['7', '2', '6', '3']","['8', '3', '8', '1']","['1', '6', '8', '7']","['7', '4', '3', '4']","['5', '5', '0', '0']"
5788,05/08/2023,"['3', '1', '0', '4']","['7', '4', '6', '6']","['0', '1', '6', '1']","['1', '2', '5', '5']","['3', '6', '7', '5']"
5787,02/08/2023,"['9', '2', '5', '8']","['4', '2', '6', '6']","['9', '7', '1', '3']","['8', '0', '3', '7']","['8', '2', '6', '7']"
5786,29/07/2023,"['0', '7', '7', '8']","['3', '5', '6', '4']","['9', '3', '7', '1']","['2', '7', '7', '9']","['1', '5', '8', '6']"
5785,26/07/2023,"['1', '8', '5', '5']","['3', '8', '4', '4']","['6', '3', '6', '9']","['7', '0', '3', '2']","['2', '8', '1', '1']"
5784,22/07/2023,"['6', '0', '3', '4']","['3', '9', '2', '1']","['0', '0', '4', '4']","['6', '1', '3', '3']","['4', '8', '5', '6']"
5783,19/07/2023,"['1', '7', '1', '2']","['1', '2', '5', '8']","['3', '3', '9', '9']","['0', '2', '4', '3']","['0', '1', '7', '6']"
5782,15/07/2023,"['2', '5', '4', '2']","['0', '1', '7', '3']","['5', '4', '7', '9']","['2', '5', '5', '0']","['4', '3', '5', '3']"
5781,12/07/2023,"['5', '3', '0', '3']","['7', '4', '9', '1']","['3', '3', '4', '5']","['6', '1', '8', '3']","['7', '3', '4', '9']"
5780,08/07/2023,"['1', '1', '2', '0']","['3', '3', '9', '3']","['9', '5', '1', '4']","['7', '4', '1', '3']","['7', '0', '6', '9']"
5779,05/07/2023,"['8', '8', '6', '6']","['5', '7', '4', '6']","['3', '1', '4', '4']","['0', '1', '8', '6']","['2', '7', '9', '2']"
5778,01/07/2023,"['9', '1', '0', '5']","['0', '5', '9', '9']","['5', '5', '2', '4']","['3', '5', '6', '8']","['3', '7', '3', '8']"
5777,28/06/2023,"['5', '5', '5', '4']","['8', '8', '2', '8']","['0', '7', '9', '0']","['2', '5', '6', '2']","['0', '4', '4', '5']"
5776,24/06/2023,"['1', '3', '9', '9']","['2', '7', '6', '3']","['4', '4', '8', '9']","['1', '6', '0', '6']","['0', '8', '1', '4']"
5775,21/06/2023,"['7', '6', '6', '6']","['0', '0', '6', '4']","['8', '3', '3', '6']","['3', '0', '4', '6']","['5', '2', '3', '5']"
5774,17/06/2023,"['7', '1', '2', '9']","['4', '8', '9', '9']","['1', '1', '9', '0']","['2', '6', '3', '9']","['6', '1', '7', '7']"
5773,14/06/2023,"['9', '0', '8', '4']","['9', '5', '2', '7']","['6', '2', '0', '4']","['7', '3', '0', '9']","['6', '9', '9', '2']"
5772,10/06/2023,"['8', '9', '6', '3']","['1', '3', '2', '8']","['0', '9', '9', '9']","['7', '7', '7', '7']","['3', '8', '4', '4']"
5771,07/06/2023,"['6', '3', '3', '7']","['0', '1', '7', '5']","['9', '6', '5', '5']","['9', '3', '9', '5']","['6', '9', '9', '8']"
