Concurso,Data,Prêmio1,Prêmio2,Prêmio3,Prêmio4,Prêmio5
1,15/09/1962,5349,8031,6492,5151,1416
2,22/09/1962,3334,4714,967,6468,8452
3,29/09/1962,7793,5637,1505,4184,5711
4,03/10/1962,896,7354,8461,1951,3569
5,06/10/1962,3972,3280,3664,4058,3746
6,10/10/1962,934,5267,3690,4257,2504
7,13/10/1962,1314,660,1472,7130,810
8,17/10/1962,1096,1329,5331,6235,3141
9,20/10/1962,5728,382,2260,8491,7274
10,24/10/1962,338,7703,2749,1370,7915
11,27/10/1962,3264,6070,4611,7023,637
12,31/10/1962,7058,8897,4444,6478,962
13,07/11/1962,5275,3129,9176,1921,5842
14,10/11/1962,3932,5282,4715,3408,8803
15,14/11/1962,809,5041,1942,9510,9207
16,17/11/1962,6536,5752,6035,9775,9175
17,21/11/1962,5913,2173,1454,1363,5010
18,24/11/1962,7716,7891,6139,7792,5301
19,28/11/1962,407,3594,3789,6677,3565
20,01/12/1962,4413,6267,2363,1339,6524
21,05/12/1962,9859,1796,7438,456,7238
22,12/12/1962,6637,284,3185,4896,2613
23,15/12/1962,122,5169,7548,9570,9424
24,19/12/1962,9471,3336,1604,592,4373
25,22/12/1962,3457,2079,8594,3094,1338
26,26/12/1962,1865,1867,1972,3785,8465
27,29/12/1962,6195,7828,7049,7637,5744
28,02/01/1963,9063,5673,5479,2347,6597
29,05/01/1963,6584,2662,3566,2094,1243
30,09/01/1963,5793,3312,3039,540,9415
31,12/01/1963,6801,9425,9537,2547,5724
32,16/01/1963,689,9533,2491,1211,6298
33,19/01/1963,2393,2420,2302,9410,1715
34,23/01/1963,8914,2584,4401,964,2314
35,26/01/1963,9446,1617,2544,3817,328
36,30/01/1963,8620,974,8939,7438,4048
37,02/02/1963,578,2930,8938,2794,2281
38,06/02/1963,8838,2397,3531,3138,9267
39,09/02/1963,4291,7363,9641,2341,4032
40,13/02/1963,2085,1069,5666,3516,7535
41,16/02/1963,3979,2247,2939,1169,2102
42,20/02/1963,8403,8630,5301,4190,2993
43,23/02/1963,2341,4187,579,251,1133
44,02/03/1963,6908,4430,9152,3076,8391
45,06/03/1963,4057,5588,8936,3322,9662
46,09/03/1963,4361,5759,322,9826,596
47,13/03/1963,7650,372,9995,6125,97
48,16/03/1963,4915,1223,6654,7198,1684
49,20/03/1963,3496,9242,4622,5547,625
50,23/03/1963,4341,430,6193,1540,9063
51,27/03/1963,5602,2479,9925,8652,5984
52,30/03/1963,6660,4119,6721,7088,299
53,03/04/1963,2213,9830,3508,6875,8350
54,06/04/1963,5234,7725,6948,9590,7689
55,10/04/1963,1071,5301,2733,4935,7386
56,17/04/1963,2472,8740,9532,786,9707
57,20/04/1963,8428,6293,9314,4211,4556
58,24/04/1963,87,9646,8960,748,454
59,27/04/1963,5317,45,124,4606,8327
60,04/05/1963,450,2477,3431,5014,8886
61,08/05/1963,3124,1278,7303,388,1326
62,11/05/1963,9907,5827,304,9497,2330
63,15/05/1963,5095,8690,667,1953,2478
64,18/05/1963,3005,4290,9861,2002,6527
65,22/05/1963,5418,7227,5551,5912,733
66,25/05/1963,9439,9213,1414,6002,1820
67,29/05/1963,2869,9110,7546,9308,4229
68,01/06/1963,511,6744,8742,733,4677
69,05/06/1963,857,8934,9974,2876,9489
70,08/06/1963,1478,2344,2269,9843,1566
71,12/06/1963,1219,3796,2543,5966,987
72,15/06/1963,6800,1003,1038,8855,9832
73,19/06/1963,5621,8266,3881,8404,9624
74,22/06/1963,2863,443,5280,2731,7062
75,26/06/1963,7855,6073,1492,8981,6346
76,29/06/1963,9744,5574,7298,7290,122
77,03/07/1963,3007,6094,2630,1561,2057
78,06/07/1963,2048,1071,1388,9714,2644
79,10/07/1963,274,9281,9088,8201,4775
80,13/07/1963,3084,5004,2814,8921,7310
81,17/07/1963,4065,9469,5493,10,6758
82,20/07/1963,7736,1177,1167,3021,8686
83,24/07/1963,3125,2856,6512,8388,4579
84,27/07/1963,1273,9564,4989,4258,6052
85,31/07/1963,2992,8777,8771,1023,8344
86,03/08/1963,183,7707,4963,4362,9619
87,07/08/1963,5744,3809,4963,633,2081
88,10/08/1963,3463,5188,3495,9706,5441
89,14/08/1963,715,8774,5353,7345,5381
90,17/08/1963,3275,3208,8351,771,9791
91,21/08/1963,8509,720,4283,6022,7429
92,24/08/1963,102,7913,7992,2300,4616
93,28/08/1963,3173,5316,2521,3458,9559
94,31/08/1963,1895,5758,6337,1465,3856
95,04/09/1963,7023,2366,337,6882,5877
96,11/09/1963,4323,4987,3625,3865,9390
97,14/09/1963,4941,7668,1982,7078,4758
98,18/09/1963,3847,9773,5881,8023,6484
99,21/09/1963,9696,9444,9456,8026,6396
100,25/09/1963,6363,420,9271,7665,7352
101,28/09/1963,1904,1818,94,7604,5301
102,02/10/1963,6246,6373,1073,6621,1219
103,05/10/1963,8121,7989,7131,4146,4528
104,09/10/1963,5196,7418,5175,3613,4789
105,12/10/1963,3071,8662,5114,7602,7136
106,16/10/1963,6387,6798,5070,2913,8121
107,19/10/1963,1986,2704,9107,4795,4984
108,23/10/1963,6775,5004,8642,6707,8023
109,26/10/1963,7228,4912,2910,231,3431
110,30/10/1963,6253,350,4868,5406,6237
111,06/11/1963,8871,8709,3645,7241,7457
112,09/11/1963,508,6487,4356,9569,8182
113,13/11/1963,710,7471,7921,6751,818
114,16/11/1963,6835,5911,1349,8861,9948
115,20/11/1963,777,5705,6332,5777,4573
116,23/11/1963,913,2333,1185,8548,8101
117,27/11/1963,3313,7694,3029,8955,5775
118,30/11/1963,8957,2658,1866,7143,5429
119,04/12/1963,1120,5631,7795,7862,8565
120,07/12/1963,3499,1600,8383,2665,4831
121,11/12/1963,9229,7990,4501,8823,2310
122,14/12/1963,3089,1478,970,8100,9796
123,18/12/1963,1516,526,8856,4044,9861
124,21/12/1963,8918,34,3360,1716,1531
125,28/12/1963,9313,9706,3523,9148,6696
126,04/01/1964,8957,7111,8757,9392,8956
127,08/01/1964,221,7773,1631,1344,3722
128,11/01/1964,8857,906,9646,4143,6487
129,15/01/1964,2768,2710,6881,5742,5524
130,18/01/1964,2250,3374,2613,1794,640
131,22/01/1964,3706,3495,519,7470,3020
132,25/01/1964,7064,1694,4161,3814,4392
133,29/01/1964,6210,4297,9259,5599,4578
134,01/02/1964,7033,4838,8850,4777,9069
135,05/02/1964,3613,3624,2540,5100,7782
136,08/02/1964,3447,3837,1079,5290,4686
137,15/02/1964,8048,4587,523,4218,4166
138,19/02/1964,4986,3734,5630,470,4364
139,22/02/1964,5342,801,6693,6335,278
140,26/02/1964,7055,7234,2234,614,9689
141,29/02/1964,295,5985,7614,2663,7126
142,04/03/1964,9074,8537,9831,4045,8171
143,07/03/1964,2787,7807,2976,3612,4618
144,11/03/1964,2405,853,8650,1194,2022
145,14/03/1964,9018,9467,8509,4472,411
146,18/03/1964,6783,4478,3276,2699,1781
147,21/03/1964,3271,2574,3312,7788,120
148,25/03/1964,3154,6990,3598,1719,6487
149,06/04/1964,4618,1298,2816,7806,8238
150,04/04/1964,3892,6408,6626,4518,2861
151,08/04/1964,701,80,7093,3722,7108
152,11/04/1964,8270,6704,9365,8943,4462
153,15/04/1964,3855,4916,5324,7614,6346
154,18/04/1964,4648,2884,9547,3696,3917
155,22/04/1964,576,6243,3895,4587,3615
156,25/04/1964,7542,2910,9319,6894,8282
157,29/04/1964,8550,4816,1428,5862,1338
158,02/05/1964,9378,6741,1343,6316,7216
159,06/05/1964,4344,4568,291,7551,475
160,09/05/1964,9730,115,2418,6272,402
161,13/05/1964,7055,3702,1578,116,9588
162,16/05/1964,8400,1336,6429,4032,7675
163,20/05/1964,1540,7183,9226,2226,1708
164,23/05/1964,9366,5170,379,9419,4183
165,27/05/1964,3117,8538,5627,4142,592
166,30/05/1964,9498,6159,4728,4178,57
167,03/06/1964,8917,2568,96,1758,1689
168,06/06/1964,8291,1661,8230,9771,6278
169,10/06/1964,8426,2394,9915,8917,6366
170,13/06/1964,7785,4022,9369,6210,4281
171,17/06/1964,5364,2361,8800,8392,2129
172,20/06/1964,895,6735,263,5137,2536
173,24/06/1964,495,8973,2518,2057,4290
174,27/06/1964,2401,5407,4209,2109,1485
175,01/07/1964,571,8908,7361,8281,312
176,04/07/1964,1211,2342,1510,7369,6909
177,08/07/1964,8883,5298,3246,5183,3659
178,11/07/1964,8564,6334,8514,8617,1345
179,15/07/1964,1692,1896,1903,1554,8983
180,18/07/1964,5021,8658,7546,4901,9681
181,22/07/1964,8813,358,193,4365,3026
182,25/07/1964,3512,4383,8242,8599,2998
183,29/07/1964,9298,1301,406,8642,6034
184,01/08/1964,3406,3564,4412,3857,9206
185,05/08/1964,3202,5745,474,3421,600
186,08/08/1964,3738,265,7997,7375,2630
187,12/08/1964,8876,2923,1978,6569,5228
188,19/08/1964,6974,2201,6685,5627,6080
189,22/08/1964,9208,3485,3776,8982,564
190,26/08/1964,7132,4191,1251,5162,8325
191,29/08/1964,8997,759,2913,3623,5082
192,02/09/1964,473,3202,4267,8645,678
193,05/09/1964,2338,4445,6081,2135,2377
194,09/09/1964,2106,5497,6782,5595,4957
195,12/09/1964,9543,7954,2135,8982,1848
196,16/09/1964,9501,5471,5685,5867,1922
197,19/09/1964,2155,6052,806,4876,9860
198,23/09/1964,7417,1429,2144,6481,6953
199,26/09/1964,1795,1357,4129,1248,1523
200,30/09/1964,8665,1411,1803,5796,7735
201,03/10/1964,5291,1484,3906,964,4031
202,07/10/1964,9743,3654,8304,6778,8603
203,10/10/1964,9484,653,9816,6688,262
204,14/10/1964,6309,9641,8104,5757,3986
205,17/10/1964,5114,3325,4234,3242,8688
206,21/10/1964,2813,5340,1967,602,9151
207,24/10/1964,6456,986,9862,5472,1890
208,28/10/1964,4547,5074,6271,2198,3539
209,31/10/1964,5448,3638,2827,1528,715
210,04/11/1964,2973,5429,5161,7387,9869
